alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,0.01,1.0,1.0,0.01,0.05,135.0,0.793205317577548
100.0,0.001,0.001,0.001,0.01,0.05,135.0,0.7806499261447563
100.0,0.001,0.0001,0.01,0.01,0.05,135.0,0.7806499261447563
100.0,0.0001,1e-05,1.0,0.0001,0.05,135.0,0.7869276218611522
100.0,1e-06,0.01,1.0,1e-05,0.05,135.0,0.7817577548005908
10.0,0.01,0.01,0.01,0.01,0.05,135.0,0.7887740029542097
10.0,0.01,0.001,0.01,0.1,0.05,135.0,0.7895125553914328
10.0,0.001,0.01,1e-06,0.0001,0.05,135.0,0.7810192023633677
10.0,0.001,0.001,0.1,0.001,0.05,135.0,0.7872968980797637
10.0,1e-05,1e-06,0.1,1e-06,0.05,135.0,0.7861890694239291
10.0,1e-06,0.1,0.1,0.1,0.05,135.0,0.8168389955686853
10.0,1e-06,0.0001,0.1,0.1,0.05,135.0,0.8046528803545052
10.0,1e-06,1e-05,1e-05,1e-05,0.05,135.0,0.7824963072378139
1.0,0.001,0.1,0.001,0.01,0.05,135.0,0.7961595273264401
1.0,0.0001,0.001,0.01,0.01,0.05,135.0,0.7965288035450517
1.0,0.0001,0.0001,0.01,0.01,0.05,135.0,0.8179468242245199
1.0,1e-05,0.001,0.01,0.01,0.05,135.0,0.784711964549483
1.0,1e-05,0.0001,0.01,0.01,0.05,135.0,0.7824963072378139
1.0,1e-05,1e-06,0.01,0.01,0.05,135.0,0.794682422451994
1.0,1e-06,0.01,0.01,0.001,0.05,135.0,0.784711964549483
1.0,1e-06,0.001,0.01,0.01,0.05,135.0,0.794682422451994
1.0,1e-06,1e-06,0.01,0.01,0.05,135.0,0.7954209748892171
0.1,0.0001,0.001,1e-05,0.001,0.05,135.0,0.7917282127031019
0.1,0.0001,0.0001,1e-06,0.001,0.05,135.0,0.7913589364844904
0.1,0.0001,1e-05,0.0001,0.001,0.05,135.0,0.7828655834564254
0.1,1e-05,0.001,0.0001,0.001,0.05,135.0,0.7876661742983752
0.1,1e-05,0.001,1e-05,0.001,0.05,135.0,0.7891432791728212
0.1,1e-05,0.0001,0.001,0.001,0.05,135.0,0.8039143279172821
0.1,1e-05,0.0001,0.0001,0.001,0.05,135.0,0.7906203840472673
0.1,1e-05,1e-05,0.001,0.001,0.05,135.0,0.7939438700147711
0.1,1e-05,1e-05,1e-05,0.001,0.05,135.0,0.8076070901033974
0.1,1e-05,1e-06,0.001,0.001,0.05,135.0,0.8046528803545052
0.1,1e-05,1e-06,0.0001,0.001,0.05,135.0,0.7858197932053176
0.1,1e-05,1e-06,1e-06,0.001,0.05,135.0,0.803175775480059
0.1,1e-06,0.001,1e-05,0.001,0.05,135.0,0.801698670605613
0.1,1e-06,0.001,1e-06,0.001,0.05,135.0,0.7821270310192023
0.1,1e-06,0.0001,0.001,0.001,0.05,135.0,0.8201624815361891
0.1,1e-06,1e-05,0.0001,0.001,0.05,135.0,0.8046528803545052
0.1,1e-06,1e-05,1e-05,0.001,0.05,135.0,0.8227474150664698
0.1,1e-06,1e-05,1e-06,0.001,0.05,135.0,0.7824963072378139
0.1,1e-06,1e-06,0.0001,0.001,0.05,135.0,0.8124076809453471
0.01,1e-05,0.0001,0.0001,0.0001,0.05,135.0,0.7869276218611522
0.0001,0.0001,0.001,0.0001,0.001,0.05,135.0,0.7991137370753324
1e-06,0.0001,0.0001,1e-05,0.001,0.05,135.0,0.8105612998522895
1e-06,1e-06,1e-06,1e-06,1e-06,0.05,135.0,0.26477104874446084
