alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,100.0,100.0,1.0,1.0,0.3,812.0,0.7813884785819794
100.0,100.0,100.0,1.0,0.001,0.3,812.0,0.8098227474150664
100.0,100.0,100.0,1.0,1e-05,0.3,812.0,0.8153618906942393
100.0,100.0,100.0,0.1,1.0,0.3,812.0,0.8179468242245199
100.0,100.0,100.0,0.1,0.1,0.3,812.0,0.8098227474150664
100.0,100.0,100.0,0.1,0.01,0.3,812.0,0.8216395864106352
100.0,100.0,100.0,0.1,0.001,0.3,812.0,0.8090841949778435
100.0,100.0,100.0,0.1,0.0001,0.3,812.0,0.8223781388478582
100.0,100.0,100.0,0.1,1e-05,0.3,812.0,0.7957902511078286
100.0,100.0,100.0,0.1,1e-06,0.3,812.0,0.8050221565731167
100.0,100.0,100.0,0.01,1.0,0.3,812.0,0.7913589364844904
100.0,100.0,100.0,0.01,0.01,0.3,812.0,0.8057607090103397
100.0,100.0,100.0,0.01,0.0001,0.3,812.0,0.8197932053175776
100.0,100.0,100.0,0.01,1e-05,0.3,812.0,0.8002215657311669
100.0,100.0,100.0,0.01,1e-06,0.3,812.0,0.8172082717872969
100.0,100.0,100.0,0.001,1.0,0.3,812.0,0.7850812407680945
100.0,100.0,100.0,0.001,0.1,0.3,812.0,0.8116691285081241
100.0,100.0,100.0,0.001,0.01,0.3,812.0,0.8035450516986706
100.0,100.0,100.0,0.001,0.001,0.3,812.0,0.7906203840472673
100.0,100.0,100.0,0.001,0.0001,0.3,812.0,0.8116691285081241
100.0,100.0,100.0,0.001,1e-05,0.3,812.0,0.8282865583456426
100.0,100.0,100.0,0.001,1e-06,0.3,812.0,0.8375184638109305
100.0,100.0,100.0,0.0001,0.1,0.3,812.0,0.803175775480059
100.0,100.0,100.0,0.0001,0.01,0.3,812.0,0.8209010339734121
100.0,100.0,100.0,0.0001,0.001,0.3,812.0,0.808714918759232
100.0,100.0,100.0,0.0001,0.0001,0.3,812.0,0.7998522895125554
100.0,100.0,100.0,0.0001,1e-05,0.3,812.0,0.8231166912850812
100.0,100.0,100.0,0.0001,1e-06,0.3,812.0,0.8257016248153619
100.0,100.0,100.0,1e-05,1.0,0.3,812.0,0.8002215657311669
100.0,100.0,100.0,1e-05,0.1,0.3,812.0,0.7872968980797637
100.0,100.0,100.0,1e-05,0.01,0.3,812.0,0.8245937961595273
100.0,100.0,100.0,1e-05,0.0001,0.3,812.0,0.8149926144756278
100.0,100.0,100.0,1e-05,1e-06,0.3,812.0,0.8220088626292467
100.0,100.0,100.0,1e-06,1.0,0.3,812.0,0.7917282127031019
100.0,100.0,100.0,1e-06,0.1,0.3,812.0,0.80096011816839
100.0,100.0,100.0,1e-06,0.01,0.3,812.0,0.8164697193500738
100.0,100.0,100.0,1e-06,0.001,0.3,812.0,0.8153618906942393
100.0,100.0,100.0,1e-06,0.0001,0.3,812.0,0.8057607090103397
100.0,100.0,100.0,1e-06,1e-05,0.3,812.0,0.8242245199409158
100.0,100.0,100.0,1e-06,1e-06,0.3,812.0,0.8079763663220089
100.0,10.0,100.0,1.0,1.0,0.3,812.0,0.8245937961595273
100.0,10.0,100.0,1.0,0.1,0.3,812.0,0.8404726735598228
100.0,10.0,100.0,1.0,0.01,0.3,812.0,0.8345642540620384
100.0,10.0,100.0,1.0,0.001,0.3,812.0,0.8197932053175776
100.0,10.0,100.0,1.0,0.0001,0.3,812.0,0.8286558345642541
100.0,10.0,100.0,1.0,1e-05,0.3,812.0,0.8168389955686853
100.0,10.0,100.0,1.0,1e-06,0.3,812.0,0.8290251107828656
100.0,10.0,100.0,0.1,1.0,0.3,812.0,0.8353028064992615
100.0,10.0,100.0,0.1,0.1,0.3,812.0,0.8223781388478582
