alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,0.1,10.0,0.1,0.0001,0.03,591.0,0.728508393771872
100.0,0.1,10.0,0.1,1e-05,0.03,591.0,0.7212050514784196
100.0,0.1,10.0,0.1,1e-06,0.03,591.0,0.704620378353705
100.0,0.1,10.0,0.01,0.01,0.03,591.0,0.7336815945630674
100.0,0.1,10.0,0.01,0.0001,0.03,591.0,0.7115179794086322
100.0,0.1,10.0,0.01,1e-05,0.03,591.0,0.708576355429325
100.0,0.1,10.0,0.01,1e-06,0.03,591.0,0.709844296799716
100.0,0.1,10.0,0.001,0.01,0.03,591.0,0.7396662778313131
100.0,0.1,10.0,0.001,0.001,0.03,591.0,0.7089313790130345
100.0,0.1,10.0,0.001,0.0001,0.03,591.0,0.7223208398843638
100.0,0.1,10.0,0.001,1e-06,0.03,591.0,0.707308414058934
100.0,0.1,10.0,0.0001,0.01,0.03,591.0,0.717046203783537
100.0,0.1,10.0,0.0001,0.001,0.03,591.0,0.7477303849470001
100.0,0.1,10.0,0.0001,0.0001,0.03,591.0,0.7357103007556931
100.0,0.1,10.0,0.0001,1e-05,0.03,591.0,0.7238930871836486
100.0,0.1,10.0,0.0001,1e-06,0.03,591.0,0.7266825581985089
100.0,0.1,10.0,1e-05,0.01,0.03,591.0,0.716488309580565
100.0,0.1,10.0,1e-05,0.001,0.03,591.0,0.7266825581985089
100.0,0.1,10.0,1e-05,0.0001,0.03,591.0,0.7177055332961404
100.0,0.1,10.0,1e-05,1e-05,0.03,591.0,0.7201906983821068
100.0,0.1,10.0,1e-06,0.001,0.03,591.0,0.7251103108992241
100.0,0.1,10.0,1e-06,1e-06,0.03,591.0,0.7180098392250343
100.0,0.1,1.0,0.01,0.001,0.03,591.0,0.7344930770401177
100.0,0.1,1.0,0.01,0.0001,0.03,591.0,0.7323122178830451
100.0,0.1,1.0,0.01,1e-05,0.03,591.0,0.7074605670233809
100.0,0.1,1.0,0.01,1e-06,0.03,591.0,0.7317036060252574
100.0,0.1,1.0,0.001,0.001,0.03,591.0,0.7878480499061723
100.0,0.1,1.0,0.001,0.0001,0.03,591.0,0.7408327838920729
100.0,0.1,1.0,0.001,1e-05,0.03,591.0,0.7224729928488107
100.0,0.1,1.0,0.001,1e-06,0.03,591.0,0.7687782116954912
100.0,0.1,1.0,0.0001,0.01,0.03,591.0,0.7585839630775473
100.0,0.1,1.0,0.0001,0.001,0.03,591.0,0.7196835218339503
100.0,0.1,1.0,0.0001,0.0001,0.03,591.0,0.7549830095856368
100.0,0.1,1.0,0.0001,1e-05,0.03,591.0,0.7554394684789776
100.0,0.1,1.0,0.0001,1e-06,0.03,591.0,0.7596997514834914
100.0,0.1,1.0,1e-05,0.01,0.03,591.0,0.781812648983111
100.0,0.1,1.0,1e-05,0.001,0.03,591.0,0.7382461834964751
100.0,0.1,1.0,1e-05,0.0001,0.03,591.0,0.768524623421413
100.0,0.1,1.0,1e-05,1e-05,0.03,591.0,0.7356088654460617
100.0,0.1,1.0,1e-05,1e-06,0.03,591.0,0.7470203377795811
100.0,0.1,1.0,1e-06,0.01,0.03,591.0,0.770502611959223
100.0,0.1,1.0,1e-06,0.001,0.03,591.0,0.747324643708475
100.0,0.1,1.0,1e-06,0.0001,0.03,591.0,0.7571638687427094
100.0,0.1,1.0,1e-06,1e-05,0.03,591.0,0.7330729827052798
100.0,0.1,1.0,1e-06,1e-06,0.03,591.0,0.7788203073489882
100.0,0.1,0.1,0.1,0.0001,0.03,591.0,0.7250595932444084
100.0,0.1,0.1,0.01,0.01,0.03,591.0,0.7882030734898818
100.0,0.1,0.1,0.01,1e-06,0.03,591.0,0.7854136024750216
100.0,0.1,0.1,0.001,0.01,0.03,591.0,0.7869858497743064
100.0,0.1,0.1,0.001,0.001,0.03,591.0,0.7955571334381498
100.0,0.1,0.1,0.001,0.0001,0.03,591.0,0.7437236902165644
100.0,0.1,0.1,0.001,1e-05,0.03,591.0,0.787746614596541
100.0,0.1,0.1,0.001,1e-06,0.03,591.0,0.7823198255312674
100.0,0.1,0.1,0.0001,0.01,0.03,591.0,0.7745600243444744
100.0,0.1,0.1,0.0001,0.001,0.03,591.0,0.7923112035299488
100.0,0.1,0.1,0.0001,0.0001,0.03,591.0,0.7894202972054573
100.0,0.1,0.1,0.0001,1e-05,0.03,591.0,0.7802911193386418
100.0,0.1,0.1,0.0001,1e-06,0.03,591.0,0.7615255870568545
100.0,0.1,0.1,1e-05,0.01,0.03,591.0,0.7954556981285186
100.0,0.1,0.1,1e-05,0.001,0.03,591.0,0.7793274838971446
100.0,0.1,0.1,1e-05,1e-05,0.03,591.0,0.7779581072171223
100.0,0.1,0.1,1e-05,1e-06,0.03,591.0,0.7769944717756251
100.0,0.1,0.1,1e-06,0.01,0.03,591.0,0.7746614596541056
100.0,0.1,0.1,1e-06,0.001,0.03,591.0,0.7623370695339048
100.0,0.1,0.1,1e-06,0.0001,0.03,591.0,0.7654815641324745
100.0,0.1,0.1,1e-06,1e-05,0.03,591.0,0.7659887406806309
100.0,0.1,0.1,1e-06,1e-06,0.03,591.0,0.7893188618958259
100.0,0.1,0.01,0.01,0.001,0.03,591.0,0.7713140944362733
100.0,0.1,0.01,0.01,0.0001,0.03,591.0,0.7667495055028656
100.0,0.1,0.01,0.01,1e-05,0.03,591.0,0.7648222346198712
100.0,0.1,0.01,0.01,1e-06,0.03,591.0,0.7766901658467312
100.0,0.1,0.01,0.001,0.01,0.03,591.0,0.7846528376527869
100.0,0.1,0.01,0.001,0.001,0.03,591.0,0.7963686159152
100.0,0.1,0.01,0.001,0.0001,0.03,591.0,0.7751686362022621
100.0,0.1,0.01,0.001,1e-05,0.03,591.0,0.7675609879799158
100.0,0.1,0.01,0.001,1e-06,0.03,591.0,0.7802911193386418
100.0,0.1,0.01,0.0001,0.01,0.03,591.0,0.7930719683521834
100.0,0.1,0.01,0.0001,0.001,0.03,591.0,0.7966729218440939
100.0,0.1,0.01,0.0001,0.0001,0.03,591.0,0.7957600040574124
100.0,0.1,0.01,0.0001,1e-05,0.03,591.0,0.801338946087133
100.0,0.1,0.01,0.0001,1e-06,0.03,591.0,0.7532078916670893
100.0,0.1,0.01,1e-05,0.01,0.03,591.0,0.7892681442410103
100.0,0.1,0.01,1e-05,0.001,0.03,591.0,0.7949485215803621
100.0,0.1,0.01,1e-05,0.0001,0.03,591.0,0.7885073794187757
100.0,0.1,0.01,1e-05,1e-05,0.03,591.0,0.7847035553076026
100.0,0.1,0.01,1e-05,1e-06,0.03,591.0,0.7767408835015469
100.0,0.1,0.01,1e-06,0.01,0.03,591.0,0.7885580970735914
100.0,0.1,0.01,1e-06,0.001,0.03,591.0,0.7975351219759599
100.0,0.1,0.01,1e-06,0.0001,0.03,591.0,0.7641121874524522
100.0,0.1,0.01,1e-06,1e-05,0.03,591.0,0.7692853882436476
100.0,0.1,0.01,1e-06,1e-06,0.03,591.0,0.8025561698027083
100.0,0.1,0.001,0.1,0.001,0.03,591.0,0.7166911801998276
100.0,0.1,0.001,0.1,1e-06,0.03,591.0,0.7516356443678044
100.0,0.1,0.001,0.01,0.01,0.03,591.0,0.7986001927270883
100.0,0.1,0.001,0.01,0.001,0.03,591.0,0.7744078713800274
100.0,0.1,0.001,0.01,0.0001,0.03,591.0,0.7848049906172339
100.0,0.1,0.001,0.01,1e-05,0.03,591.0,0.760308363341279
100.0,0.1,0.001,0.01,1e-06,0.03,591.0,0.7745600243444744
100.0,0.1,0.001,0.001,0.01,0.03,591.0,0.7690317999695694
100.0,0.1,0.001,0.001,0.0001,0.03,591.0,0.795100674544809
100.0,0.1,0.001,0.001,1e-05,0.03,591.0,0.8067150174975909
100.0,0.1,0.001,0.0001,0.01,0.03,591.0,0.7668509408124968
100.0,0.1,0.001,0.0001,0.001,0.03,591.0,0.7980930161789319
100.0,0.1,0.001,0.0001,0.0001,0.03,591.0,0.7735456712481615
100.0,0.1,0.001,0.0001,1e-05,0.03,591.0,0.8033169346249429
100.0,0.1,0.001,0.0001,1e-06,0.03,591.0,0.7964193335700157
100.0,0.1,0.001,1e-05,0.01,0.03,591.0,0.7691332352792007
100.0,0.1,0.001,1e-05,0.001,0.03,591.0,0.7975858396307755
100.0,0.1,0.001,1e-05,0.0001,0.03,591.0,0.7875944616320941
100.0,0.1,0.001,1e-05,1e-05,0.03,591.0,0.7805954252675357
100.0,0.1,0.001,1e-05,1e-06,0.03,591.0,0.8024040168382613
100.0,0.1,0.001,1e-06,0.01,0.03,591.0,0.7848049906172339
100.0,0.1,0.001,1e-06,0.001,0.03,591.0,0.8035198052442055
100.0,0.1,0.001,1e-06,0.0001,0.03,591.0,0.7848557082720495
100.0,0.1,0.001,1e-06,1e-05,0.03,591.0,0.7772987777045189
100.0,0.1,0.001,1e-06,1e-06,0.03,591.0,0.7719734239488766
100.0,0.1,0.0001,0.1,0.01,0.03,591.0,0.7250595932444084
100.0,0.1,0.0001,0.1,0.001,0.03,591.0,0.7238930871836486
100.0,0.1,0.0001,0.1,1e-05,0.03,591.0,0.770350458994776
100.0,0.1,0.0001,0.01,0.01,0.03,591.0,0.7897246031343511
100.0,0.1,0.0001,0.01,0.001,0.03,591.0,0.7543743977278491
100.0,0.1,0.0001,0.01,0.0001,0.03,591.0,0.7860222143328093
100.0,0.1,0.0001,0.01,1e-05,0.03,591.0,0.7585839630775473
100.0,0.1,0.0001,0.001,0.01,0.03,591.0,0.7818633666379267
100.0,0.1,0.0001,0.001,0.001,0.03,591.0,0.7712633767814576
100.0,0.1,0.0001,0.001,0.0001,0.03,591.0,0.7841456611046306
100.0,0.1,0.0001,0.001,1e-05,0.03,591.0,0.7628442460820611
100.0,0.1,0.0001,0.001,1e-06,0.03,591.0,0.7920068976010549
100.0,0.1,0.0001,0.0001,0.01,0.03,591.0,0.7967236394989096
100.0,0.1,0.0001,0.0001,0.001,0.03,591.0,0.7883552264543288
100.0,0.1,0.0001,0.0001,0.0001,0.03,591.0,0.7610184105086981
100.0,0.1,0.0001,0.0001,1e-05,0.03,591.0,0.7846021199979712
100.0,0.1,0.0001,0.0001,1e-06,0.03,591.0,0.7790231779682507
100.0,0.1,0.0001,1e-05,0.01,0.03,591.0,0.7625399401531673
100.0,0.1,0.0001,1e-05,0.001,0.03,591.0,0.7755743774407872
100.0,0.1,0.0001,1e-05,0.0001,0.03,591.0,0.7712126591266419
100.0,0.1,0.0001,1e-05,1e-05,0.03,591.0,0.8012375107775016
100.0,0.1,0.0001,1e-05,1e-06,0.03,591.0,0.7989552163107978
100.0,0.1,0.0001,1e-06,0.01,0.03,591.0,0.769234670588832
100.0,0.1,0.0001,1e-06,0.001,0.03,591.0,0.7868844144646752
100.0,0.1,0.0001,1e-06,0.0001,0.03,591.0,0.7635035755946645
100.0,0.1,0.0001,1e-06,1e-05,0.03,591.0,0.763706446213927
100.0,0.1,0.0001,1e-06,1e-06,0.03,591.0,0.7501648323781508
100.0,0.1,1e-05,0.1,0.01,0.03,591.0,0.7503169853425977
100.0,0.1,1e-05,0.01,0.01,0.03,591.0,0.8068164528072221
100.0,0.1,1e-05,0.01,0.001,0.03,591.0,0.7878480499061723
100.0,0.1,1e-05,0.01,0.0001,0.03,591.0,0.7817112136734797
100.0,0.1,1e-05,0.01,1e-05,0.03,591.0,0.7955064157833341
100.0,0.1,1e-05,0.01,1e-06,0.03,591.0,0.7930212506973677
100.0,0.1,1e-05,0.001,0.01,0.03,591.0,0.7919561799462392
100.0,0.1,1e-05,0.001,0.0001,0.03,591.0,0.7588375513516255
100.0,0.1,1e-05,0.001,1e-05,0.03,591.0,0.7991073692752447
100.0,0.1,1e-05,0.001,1e-06,0.03,591.0,0.7778059542526754
100.0,0.1,1e-05,0.0001,0.01,0.03,591.0,0.7903332149921387
100.0,0.1,1e-05,0.0001,0.001,0.03,591.0,0.7799360957549323
100.0,0.1,1e-05,0.0001,0.0001,0.03,591.0,0.8002231576811888
100.0,0.1,1e-05,0.0001,1e-05,0.03,591.0,0.7889131206573008
100.0,0.1,1e-05,0.0001,1e-06,0.03,591.0,0.7837399198661054
100.0,0.1,1e-05,1e-05,0.01,0.03,591.0,0.78252269615053
100.0,0.1,1e-05,1e-05,0.001,0.03,591.0,0.770350458994776
100.0,0.1,1e-05,1e-05,0.0001,0.03,591.0,0.7835877669016584
100.0,0.1,1e-05,1e-05,1e-05,0.03,591.0,0.7710097885073794
100.0,0.1,1e-05,1e-05,1e-06,0.03,591.0,0.7952021098544403
100.0,0.1,1e-05,1e-06,0.01,0.03,591.0,0.7824212608408987
100.0,0.1,1e-05,1e-06,0.0001,0.03,591.0,0.7802404016838261
100.0,0.1,1e-05,1e-06,1e-05,0.03,591.0,0.7780088248719379
100.0,0.1,1e-05,1e-06,1e-06,0.03,591.0,0.8009332048486077
100.0,0.1,1e-06,0.01,0.01,0.03,591.0,0.797382969011513
