alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,1.0,100.0,0.1,0.0001,0.05,985.0,0.7028452604351575
100.0,1.0,100.0,0.01,0.0001,0.05,985.0,0.7722777298777704
100.0,1.0,100.0,0.001,0.1,0.05,985.0,0.723132322361414
100.0,1.0,100.0,0.001,0.01,0.05,985.0,0.7003093776943754
100.0,1.0,100.0,0.0001,0.0001,0.05,985.0,0.707308414058934
100.0,1.0,100.0,1e-05,0.1,0.05,985.0,0.7662930466095248
100.0,1.0,10.0,0.1,0.0001,0.05,985.0,0.7089820966678501
100.0,1.0,10.0,0.0001,0.01,0.05,985.0,0.7121773089212354
100.0,1.0,1.0,0.01,0.0001,0.05,985.0,0.7721762945681392
100.0,1.0,1.0,0.001,0.0001,0.05,985.0,0.7573667393619719
100.0,1.0,1.0,0.001,1e-05,0.05,985.0,0.7820155196023736
100.0,1.0,1.0,0.0001,0.001,0.05,985.0,0.7505198559618603
100.0,1.0,1.0,0.0001,0.0001,0.05,985.0,0.7555916214434245
100.0,1.0,1.0,0.0001,1e-05,0.05,985.0,0.7441801491099052
100.0,1.0,1.0,1e-05,0.0001,0.05,985.0,0.7645179286909773
100.0,1.0,1.0,1e-05,1e-05,0.05,985.0,0.7790738956230664
100.0,1.0,0.1,0.001,0.001,0.05,985.0,0.7085256377745093
100.0,1.0,0.1,0.0001,0.001,0.05,985.0,0.7059897550337273
100.0,1.0,0.1,0.0001,0.0001,0.05,985.0,0.7675102703251002
100.0,1.0,0.1,0.0001,1e-05,0.05,985.0,0.7736471065577928
100.0,1.0,0.1,1e-05,0.0001,0.05,985.0,0.7242481107673581
100.0,1.0,0.01,0.001,0.01,0.05,985.0,0.7656337170969214
100.0,1.0,0.01,0.001,0.001,0.05,985.0,0.7188720393569001
100.0,1.0,0.01,0.001,0.0001,0.05,985.0,0.7223715575391794
100.0,1.0,0.01,0.001,1e-05,0.05,985.0,0.7509255972003854
100.0,1.0,0.01,0.0001,1e-05,0.05,985.0,0.703910331186286
100.0,1.0,0.01,1e-05,1e-05,0.05,985.0,0.7220165339554699
100.0,1.0,0.001,0.001,0.0001,0.05,985.0,0.7283055231526094
100.0,1.0,0.001,0.001,1e-05,0.05,985.0,0.7741542831059491
100.0,1.0,0.001,0.0001,0.01,0.05,985.0,0.7510777501648324
100.0,1.0,0.001,0.0001,0.001,0.05,985.0,0.7140538621494142
100.0,1.0,0.001,0.0001,0.0001,0.05,985.0,0.7070041081300401
100.0,1.0,0.001,0.0001,1e-05,0.05,985.0,0.7146117563523863
100.0,1.0,0.001,1e-05,1e-05,0.05,985.0,0.7207485925850788
100.0,1.0,0.0001,0.001,0.01,0.05,985.0,0.7013744484455039
100.0,1.0,0.0001,0.001,0.001,0.05,985.0,0.7160825683420399
100.0,1.0,0.0001,0.001,0.0001,0.05,985.0,0.7387533600446315
100.0,1.0,0.0001,0.0001,0.01,0.05,985.0,0.7476289496373688
100.0,1.0,0.0001,0.0001,0.001,0.05,985.0,0.7385504894253689
100.0,1.0,0.0001,0.0001,0.0001,0.05,985.0,0.7140538621494142
100.0,1.0,0.0001,0.0001,1e-05,0.05,985.0,0.7200385454176599
100.0,1.0,0.0001,1e-05,0.0001,0.05,985.0,0.7382461834964751
100.0,1.0,0.0001,1e-05,1e-05,0.05,985.0,0.7759294010244966
100.0,1.0,1e-05,0.001,0.0001,0.05,985.0,0.7521935385707765
100.0,1.0,1e-05,0.001,1e-05,0.05,985.0,0.7161840036516711
100.0,1.0,1e-05,0.0001,0.01,0.05,985.0,0.7340366181467769
100.0,1.0,1e-05,0.0001,0.0001,0.05,985.0,0.7190241923213471
100.0,1.0,1e-05,1e-05,0.01,0.05,985.0,0.729776335142263
100.0,0.1,100.0,100.0,1.0,0.05,985.0,0.799056651620429
100.0,0.1,100.0,100.0,0.01,0.05,985.0,0.8041791347568088
100.0,0.1,100.0,10.0,10.0,0.05,985.0,0.8018461226352893
100.0,0.1,100.0,1.0,10.0,0.05,985.0,0.7924633564943957
100.0,0.1,100.0,0.0001,10.0,0.05,985.0,0.8052442055079373
100.0,0.1,100.0,1e-05,10.0,0.05,985.0,0.8042298524116245
100.0,0.1,10.0,0.1,0.01,0.05,985.0,0.7542729624182177
100.0,0.1,10.0,0.1,0.001,0.05,985.0,0.731044276512654
100.0,0.1,10.0,0.1,0.0001,0.05,985.0,0.7391591012831566
100.0,0.1,10.0,0.1,1e-05,0.05,985.0,0.7382969011512908
100.0,0.1,10.0,0.01,0.001,0.05,985.0,0.7314500177511792
100.0,0.1,10.0,0.01,0.0001,0.05,985.0,0.760460516305726
100.0,0.1,10.0,0.01,1e-05,0.05,985.0,0.7450930668965867
100.0,0.1,10.0,0.001,0.01,0.05,985.0,0.7154232388294365
100.0,0.1,10.0,0.001,0.001,0.05,985.0,0.7506720089263073
100.0,0.1,10.0,0.001,0.0001,0.05,985.0,0.7203428513465537
100.0,0.1,10.0,0.001,1e-05,0.05,985.0,0.7175533803316935
100.0,0.1,10.0,0.0001,0.01,0.05,985.0,0.7220165339554699
100.0,0.1,10.0,0.0001,0.001,0.05,985.0,0.7225237105036263
100.0,0.1,10.0,0.0001,0.0001,0.05,985.0,0.721864380991023
100.0,0.1,10.0,1e-05,0.01,0.05,985.0,0.7153725211746209
100.0,0.1,10.0,1e-05,0.001,0.05,985.0,0.7361667596490338
100.0,0.1,10.0,1e-05,0.0001,0.05,985.0,0.7324136531926764
100.0,0.1,10.0,1e-05,1e-05,0.05,985.0,0.7363696302682964
100.0,0.1,1.0,0.1,0.001,0.05,985.0,0.7936298625551554
100.0,0.1,1.0,0.1,0.0001,0.05,985.0,0.8045341583405183
100.0,0.1,1.0,0.1,1e-05,0.05,985.0,0.7921590505655018
100.0,0.1,1.0,0.01,0.01,0.05,985.0,0.7895724501699042
100.0,0.1,1.0,0.01,0.001,0.05,985.0,0.7589897043160724
100.0,0.1,1.0,0.01,0.0001,0.05,985.0,0.7664959172287873
100.0,0.1,1.0,0.01,1e-05,0.05,985.0,0.7752700715118933
100.0,0.1,1.0,0.001,0.01,0.05,985.0,0.7767408835015469
100.0,0.1,1.0,0.001,0.001,0.05,985.0,0.7772987777045189
100.0,0.1,1.0,0.001,0.0001,0.05,985.0,0.781812648983111
100.0,0.1,1.0,0.001,1e-05,0.05,985.0,0.763706446213927
